OSEBuildingID,CouncilDistrictCode,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),NumberofFloors,YearBuilt,Longitude,BuildingType,PrimaryPropertyType,Neighborhood,DefaultData,Latitude,ComplianceStatus,NumberofBuildings,TotalGHGEmissions,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,LargestPropertyUseType,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
24488,4.0,20317.0,0.0,20317.0,2.0,1967.0,-122.2833263,NonResidential,Small- and Mid-Sized Office,NORTHEAST,No,47.668886285,Compliant,1.0,4.455,Office,20317.0,Office,81.5,1.0000208930389434,0.0,0.0,0.0,638669.65625
24489,4.0,20979.0,0.0,20979.0,2.0,1984.0,-122.28403145,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,No,47.665135605,Compliant,1.0,7.29,Multifamily Housing,22000.0,Multifamily Housing,61.0,0.8871265660973362,0.1128922264442799,0.0,0.0,598641.75
24492,4.0,73697.0,27217.0,46480.0,2.0,2004.0,-122.28412900000001,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,No,47.66704425499999,Compliant,1.0,79.33500000000001,Multifamily Housing,73967.0,Multifamily Housing,1.0,0.6871359513675531,0.31287838316460803,0.0,0.0,3706085.375
24493,4.0,24377.0,0.0,24377.0,1.0,1973.0,-122.28378895,NonResidential,Supermarket / Grocery Store,NORTHEAST,No,47.668234045000005,Compliant,1.0,251.725,Supermarket/Grocery Store,24377.0,Supermarket/Grocery Store,6.5,0.5907173446503746,0.409295032250815,0.0,0.0,9735878.0
24494,1.0,95865.0,0.0,95865.0,2.0,1990.0,-122.3610635,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,No,47.532885300000004,Compliant,1.0,18.515,Multifamily Housing,95865.0,Multifamily Housing,50.0,1.000020092361811,0.0,0.0,0.0,2656482.125
24495,1.0,155600.0,0.0,155600.0,3.0,1987.0,-122.36256725,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,No,47.533346050000006,Compliant,1.0,56.510000000000005,Multifamily Housing,150000.0,Multifamily Housing,46.0,0.9306991135554872,0.06932009858392135,0.0,0.0,5556382.75
24496,1.0,32405.0,1201.0,31204.0,3.0,2009.0,-122.36455955,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,No,47.53346801,Compliant,1.0,6.895,Multifamily Housing,32405.0,Multifamily Housing,57.5,1.0000193089706084,0.0,0.0,0.0,988840.9065
24498,1.0,58523.0,0.0,58523.0,3.0,1988.0,-122.36425165,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,No,47.535043915,Compliant,5.0,13.17,Multifamily Housing,59935.0,Multifamily Housing,54.5,1.0000208431249151,0.0,0.0,0.0,1889112.125
24513,5.0,33392.0,0.0,33392.0,1.0,1986.0,-122.34232599999999,NonResidential,Other,NORTHWEST,No,47.701898345000004,Compliant,1.0,19.63,Movie Theater,33392.0,Movie Theater,,1.0000208221277507,0.0,0.0,0.0,2815514.375
24514,5.0,45155.0,0.0,45155.0,1.0,1986.0,-122.34328445,NonResidential,Supermarket / Grocery Store,NORTHWEST,No,47.70244502,Compliant,0.5,157.88,Supermarket/Grocery Store,45155.0,Supermarket/Grocery Store,6.0,0.6425087225054408,0.3575047657613835,0.0,0.0,6728069.75
